Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
NOK,13.5801,Call,14,2027-01-15T16:30:00-06:00,211,"3.00 x 1040","3.10 x 528",3.08,2495,mid,768400,2776,14648,77.31%,0.60319804352394,MLET,N/A,"11:44:20 ET"
NOK,13.5801,Put,13,2027-01-15T16:30:00-06:00,211,"2.56 x 510","2.62 x 516",2.58,2495,mid,643700,2527,19991,75.11%,-0.3498347371,MLET,N/A,"11:44:20 ET"
NOK,13.515,Call,12,2026-07-17T16:30:00-05:00,29,"1.95 x 460","2.06 x 74",1.98,2548,mid,504500,2801,14031,74.43%,0.75178116426357,SLAN,N/A,"11:35:03 ET"
NOK,13.685,Call,20,2028-01-21T16:30:00-06:00,582,"3.65 x 266","3.80 x 62",3.65,1372,bid,500700,2556,26974,78.00%,0.55343211372429,ISOI,N/A,"09:41:14 ET"
NOK,13.795,Call,17,2026-10-16T16:30:00-05:00,120,"1.55 x 624","1.55 x 2500",1.55,2500,ask,387500,2660,9398,81.04%,0.42031861740652,AUTO,N/A,"09:31:08 ET"
NOK,13.685,Call,20,2028-01-21T16:30:00-06:00,582,"3.65 x 312","3.80 x 65",3.68,974,mid,358400,2556,26974,78.00%,0.55343211372429,SLAN,N/A,"09:41:14 ET"
NOK,13.58,Call,15,2026-08-21T16:30:00-05:00,64,"1.29 x 90","1.31 x 51",1.31,2500,ask,327500,3192,38464,81.35%,0.45650148484344,SLAN,N/A,"10:18:43 ET"
NOK,13.445,Call,10,2028-01-21T16:30:00-06:00,582,"6.35 x 500","6.45 x 882",6.35,500,bid,317500,1350,40238,75.69%,0.787633140495,AUTO,N/A,"12:54:13 ET"
NOK,13.3563,Call,10,2028-01-21T16:30:00-06:00,582,"6.25 x 500","6.35 x 1018",6.25,500,bid,312500,1952,40238,75.60%,0.78556120334622,AUTO,N/A,"13:27:56 ET"
NOK,13.515,Call,14,2026-08-21T16:30:00-05:00,64,"1.62 x 10","1.63 x 2570",1.63,1772,ask,288800,2671,7978,79.48%,0.529049842997,ISOI,N/A,"11:35:07 ET"
NOK,13.485,Call,15,2026-10-16T16:30:00-05:00,120,"1.89 x 38","1.90 x 2",1.89,1441,bid,272300,1693,20470,78.64%,0.5021188013807,AUTO,N/A,"09:53:59 ET"
NOK,13.615,Call,29,2027-01-15T16:30:00-06:00,211,"0.87 x 54","0.92 x 499",0.86,2751,bid,236500,7080,10367,88.38%,0.22100480571555,ISOI,N/A,"09:36:29 ET"
NOK,13.445,Call,24,2026-12-18T16:30:00-06:00,183,"0.96 x 106","0.99 x 1",0.99,2250,ask,222700,2324,59628,85.14%,0.26108108164251,TLCT,N/A,"12:55:26 ET"
NOK,13.57,Put,10,2026-12-18T16:30:00-06:00,183,"0.98 x 4","1.02 x 510",0.99,2000,mid,198000,2050,12354,74.42%,-0.1926663811,SLCN,N/A,"11:53:48 ET"
NOK,13.615,Call,29,2027-01-15T16:30:00-06:00,211,"0.85 x 962","0.86 x 2296",0.86,2296,ask,197400,7080,10367,88.38%,0.22100480571555,AUTO,N/A,"09:37:14 ET"
NOK,13.745,Call,15,2027-06-17T16:30:00-05:00,364,"3.75 x 216","3.85 x 793",3.83,500,mid,191500,1155,22667,77.00%,0.61533376721672,SLAN,N/A,"10:24:28 ET"
NOK,13.745,Call,15,2027-06-17T16:30:00-05:00,364,"3.75 x 54","3.85 x 967",3.82,500,mid,191000,1155,22667,77.00%,0.61533376721672,SLAN,N/A,"10:23:52 ET"
NOK,13.525,Call,10,2028-01-21T16:30:00-06:00,582,"6.35 x 309","6.45 x 49",6.4,290,mid,185600,848,40238,75.92%,0.78954396006242,SLAN,N/A,"12:51:24 ET"
NOK,13.5731,Call,10,2027-01-15T16:30:00-06:00,211,"4.85 x 10","4.85 x 288",4.8,375,bid,180000,766,72920,76.33%,0.79667897550015,AUTO,N/A,"15:32:52 ET"
NOK,13.615,Call,30,2027-01-15T16:30:00-06:00,211,"0.83 x 53","0.89 x 509",0.88,2000,mid,176000,2117,99638,88.90%,0.20883267921948,SLAN,N/A,"09:34:23 ET"
NOK,13.47,Call,5.5,2027-01-15T16:30:00-06:00,211,"8.10 x 1917","8.30 x 836",8.2,200,mid,163900,200,7830,86.93%,0.95193233493206,SLAN,N/A,"10:01:30 ET"
NOK,13.46,Call,15,2026-07-24T16:30:00-05:00,36,"0.83 x 166","0.93 x 296",0.88,1800,mid,158400,2954,5163,85.06%,0.39636532266303,AUTO,N/A,"14:57:51 ET"
NOK,13.785,Call,14,2026-09-18T16:30:00-05:00,92,"2.07 x 28","2.10 x 128",2.07,750,bid,155200,939,19415,77.61%,0.56731915722711,MLET,N/A,"10:39:54 ET"
NOK,13.7669,Call,14,2026-07-17T16:30:00-05:00,29,"1.00 x 523","1.03 x 272",1.03,1500,ask,154500,2700,36194,72.23%,0.51153351566952,SLAN,N/A,"10:55:28 ET"
NOK,13.315,Put,14,2026-07-17T16:30:00-05:00,29,"1.46 x 9","1.48 x 160",1.47,1000,mid,147000,1503,19854,73.50%,-0.5520001149,SLAN,N/A,"14:26:46 ET"
NOK,13.745,Call,15,2027-01-15T16:30:00-06:00,211,"2.80 x 4","2.82 x 117",2.82,494,ask,139300,1758,56344,77.98%,0.56719142545318,SLAN,N/A,"10:24:06 ET"
NOK,13.685,Put,12,2028-01-21T16:30:00-06:00,582,"3.30 x 177","3.35 x 399",3.35,399,ask,133600,399,5939,71.30%,-0.262926327,AUTO,N/A,"09:41:26 ET"
NOK,13.67,Call,20,2028-01-21T16:30:00-06:00,582,"3.70 x 170","3.80 x 321",3.71,350,mid,129800,3096,26974,77.75%,0.55195652979821,SLAN,N/A,"09:47:12 ET"
NOK,13.315,Call,10,2028-01-21T16:30:00-06:00,582,"6.15 x 541","6.30 x 537",6.15,200,bid,123000,2558,40238,75.76%,0.78470767647601,MLET,N/A,"14:30:50 ET"
NOK,13.58,Call,10,2026-09-18T16:30:00-05:00,92,"4.00 x 1109","4.15 x 250",4.15,250,ask,103700,272,13676,76.15%,0.84170206046409,AUTO,N/A,"10:20:01 ET"
NOK,13.73,Put,14.5,2026-07-02T16:30:00-05:00,14,"1.17 x 524","1.19 x 800",1.19,800,ask,95200,813,2313,68.76%,-0.6302084995,AUTO,N/A,"10:47:38 ET"
NOK,13.535,Call,9,2026-06-18T16:30:00-05:00,0,"4.40 x 1348","4.55 x 200",4.55,200,ask,91000,374,17650,376.45%,0.98549636074731,AUTO,N/A,"15:29:08 ET"
NOK,13.385,Call,20,2027-01-15T16:30:00-06:00,211,"1.59 x 77","1.61 x 43",1.59,572,bid,90900,5650,128346,81.98%,0.37757951348153,AUTO,N/A,"13:18:59 ET"
NOK,13.785,Put,12,2026-09-18T16:30:00-05:00,92,"1.11 x 134","1.16 x 517",1.13,750,mid,84700,817,11466,75.36%,-0.2835914189,MLET,N/A,"10:39:54 ET"
NOK,13.665,Call,10,2027-01-15T16:30:00-06:00,211,"4.95 x 693","5.05 x 735",4.97,170,mid,84400,261,72920,76.38%,0.79989438535423,SLAN,N/A,"11:24:44 ET"
NOK,13.48,Call,17,2028-01-21T16:30:00-06:00,582,"4.15 x 57","4.15 x 200",4.15,200,ask,83000,545,7790,77.02%,0.60735098587948,AUTO,N/A,"15:19:46 ET"
NOK,13.355,Call,19,2026-09-18T16:30:00-05:00,92,"0.75 x 194","0.77 x 273",0.75,1098,bid,82300,1488,37193,83.77%,0.26968708527951,SLAN,N/A,"14:04:07 ET"
NOK,13.505,Call,14,2026-07-17T16:30:00-05:00,29,"0.93 x 10","0.96 x 101",0.93,858,bid,79700,7601,36194,73.49%,0.47574998020093,AUTO,N/A,"15:57:15 ET"
NOK,13.5401,Call,15,2027-06-17T16:30:00-05:00,364,"3.75 x 137","3.85 x 940",3.79,200,mid,75800,1443,22667,78.01%,0.61017377421442,SLAN,N/A,"11:25:46 ET"
NOK,13.735,Call,18,2026-07-17T16:30:00-05:00,29,"0.21 x 187","0.23 x 136",0.22,3200,mid,70400,4137,16067,82.05%,0.14803897362423,SLCN,N/A,"11:17:16 ET"
NOK,13.51,Call,20,2028-01-21T16:30:00-06:00,582,"3.50 x 1074","3.65 x 456",3.5,200,bid,70000,4464,26974,77.59%,0.5464389409393,AUTO,N/A,"09:57:46 ET"
NOK,13.755,Put,14,2026-06-26T16:30:00-05:00,8,"0.69 x 121","0.72 x 104",0.7,1000,mid,70000,3196,22612,70.01%,-0.5453689613,SLAN,N/A,"10:43:59 ET"
